id_paciente,cns,nome,data_nascimento,sexo,idade,id_bairro,dum
44,729527664142893,Bento Barbosa,1955-12-13,M,68,2,
45,721075655237070,Sr. Kevin Vasconcelos,2022-01-22,M,1,8,
46,746515457203036,Ana Luiza Cassiano,2020-04-08,F,3,1,
47,771127255385851,Sabrina Teixeira,1961-09-09,F,62,2,
48,751526829084242,Sra. Helena Ribeiro,2023-03-15,F,0,1,
49,779656437970750,Maria Almeida,1995-12-18,F,28,8,2022-09-27
50,762810890303567,Sr. João Pedro Pimenta,1977-03-30,M,46,1,
51,748146372765590,Eloah Mendes,2004-12-12,F,19,1,
52,729956102449551,Luara Vargas,2002-04-26,F,21,6,
53,735942876563548,Rhavi Moreira,1990-07-31,M,33,3,
54,751910754029572,Murilo Carvalho,2023-03-06,M,0,8,
55,748786638067316,Dr. José Pedro Barbosa,1973-09-27,M,50,2,
56,781462669162571,Luiz Felipe Peixoto,1982-08-06,M,41,10,
57,774176509229261,Aurora Araújo,1973-07-02,F,50,5,
58,755607082759886,Bruna Pires,2013-07-01,F,10,4,
59,794015066120534,Ana Liz Andrade,1967-04-13,F,56,4,
60,724671352082534,Vicente Pastor,1984-06-27,M,39,7,
61,743390248018936,João Vitor Pacheco,2005-07-11,M,18,3,
62,743273816506411,Ana Vitória Novais,2024-05-26,F,-1,5,
63,741580018973716,Luara da Cruz,2011-03-30,F,12,9,
64,762268679828255,Srta. Isabela Garcia,2022-04-01,F,1,8,
65,759328394388187,Ana Sophia Cunha,2021-01-30,F,2,8,
66,779656499165828,Yuri Costa,2013-11-12,M,10,6,
67,723741749369782,Gabriel Brito,1979-04-08,M,44,10,
68,733291044517952,Benjamin Dias,2026-01-30,M,-3,6,
69,728371920018609,Sra. Ana Laura da Mota,1992-02-11,F,31,3,
70,723516231304938,Melina Cardoso,2011-03-28,F,12,7,
71,776211932480512,Maria Isis Melo,2025-08-07,F,-2,4,
72,761084485661766,Cecília Montenegro,1949-12-30,F,74,2,
73,742906107148094,Daniela da Conceição,1976-11-10,F,47,5,
74,744403262265775,Eduardo Albuquerque,2021-03-05,M,2,8,
75,747946025350634,Laura Ramos,2022-04-01,F,1,5,
76,716855858224472,Dra. Cecília Novais,1944-11-15,F,79,6,
77,785937024805388,Sra. Aylla Nunes,2007-01-10,F,16,9,
78,722978968789281,Isaque Viana,1961-06-16,M,62,7,
79,776745562123948,Eduarda Sá,1964-09-21,F,59,4,
80,746607700714039,Nina Marques,1944-10-18,F,79,4,
81,730286921791168,Alexia Sousa,2012-06-10,F,11,6,
82,729753004203323,Marcos Vinicius Barbosa,1971-07-23,M,52,8,
83,765761723616537,Sra. Letícia Pires,2025-12-22,F,-2,8,
84,742727567012416,Lara da Conceição,2005-08-04,F,18,5,
85,766195001760450,Heitor Lima,1952-11-24,M,71,5,
86,718050070201511,Maria Alice Ramos,1949-05-18,F,74,4,
87,743540056970902,Mariane da Conceição,1942-01-05,F,81,3,
88,778429777638802,Vinícius Costa,2025-04-03,M,-2,7,
89,758867502265040,Benício Leão,1958-01-15,M,65,9,
90,721342564449552,Benicio Oliveira,2006-10-15,M,17,7,
91,745554954462665,Melina Casa Grande,1968-01-25,F,55,9,
92,739239457179459,José Pedro Ferreira,1959-01-10,M,64,7,
93,727076224161468,Giovanna Câmara,1968-02-19,F,55,8,
94,773927607119676,Emanuella Moura,2001-08-23,F,22,5,2023-03-20
95,722097453473150,Lívia Casa Grande,1995-06-12,F,28,3,
96,751161929223094,Bernardo das Neves,2024-12-23,M,-1,6,
97,799727460237128,Francisco Montenegro,1974-05-23,M,49,9,
98,755069247157073,Stella Pimenta,1980-12-20,F,43,8,2022-11-02
99,739897694884754,Dra. Luara Marques,2019-02-06,F,4,9,
100,743090101140364,Arthur Gabriel Azevedo,1958-03-10,M,65,8,
101,729917026857781,Isis Montenegro,1952-07-21,F,71,10,
102,771077543912241,Lavínia Ramos,1990-07-27,F,33,1,2022-10-19
103,751811631103400,Rodrigo Moreira,1993-03-22,M,30,8,
104,741142585345738,Ana Liz Moraes,1992-05-25,F,31,4,
105,714173383267481,Bryan Moraes,1956-04-12,M,67,4,
106,754011761633256,Maria Helena Camargo,2012-02-11,F,11,1,
107,723514255222398,Alice Santos,1985-07-04,F,38,2,
108,796433327544301,Amanda Mendes,1966-10-19,F,57,1,
109,764415558384760,Sr. Levi Cirino,2002-06-06,M,21,7,
110,785759703662656,Isis Cirino,1945-05-10,F,78,4,
111,793261328330581,Maria Isis Garcia,2002-11-14,F,21,7,
112,773023247829265,Sr. Mathias Moraes,1999-10-24,M,24,9,
113,750102629772136,Maria Laura Garcia,1992-09-25,F,31,6,
114,786070506996487,Rafaela Moraes,1954-04-10,F,69,5,
115,796340204580650,Cecilia Camargo,2001-03-10,F,22,9,
116,794770179876033,Maria Luísa Cavalcanti,1997-04-22,F,26,7,
117,767720324272397,Kevin Aparecida,1988-04-15,M,35,4,
118,716192996396924,Eloah Gomes,1981-07-16,F,42,1,2023-03-15
119,755469571062759,Júlia Pimenta,1960-07-09,F,63,3,
120,738318807799975,Lucas Azevedo,1988-10-06,M,35,6,
121,745038260644736,Sra. Sofia Aparecida,1946-01-08,F,77,5,
122,720735440286476,Dr. Dom Aparecida,2003-03-18,M,20,4,
123,748517012815838,Dra. Yasmin Vieira,1970-12-23,F,53,2,
124,740290769123114,José Miguel Vieira,1977-02-15,M,46,8,
125,779711419763965,Sr. João Guilherme da Cunha,1997-07-25,M,26,2,
126,789712256413802,Maria Liz Machado,1987-02-07,F,36,5,
127,739673497325823,Alice Brito,2005-12-17,F,18,4,
128,762667319450367,Kevin Marques,1963-01-04,M,60,1,
129,741398251089776,Dra. Lorena Campos,2001-04-17,F,22,4,
130,767606368103654,Heloisa das Neves,1978-05-07,F,45,4,
131,747829707242575,Fernando Monteiro,1977-11-24,M,46,10,
132,710488413015254,Srta. Carolina Pinto,1966-08-12,F,57,6,
133,733032416417215,Stella da Cruz,2020-12-15,F,3,10,
134,747723782445303,Liam Câmara,1950-07-11,M,73,8,
135,714492490041093,Larissa da Luz,1988-12-28,F,35,4,
136,792019502369170,Júlia da Luz,1957-04-02,F,66,7,
137,746885102402213,Luiz Henrique Vargas,1990-01-27,M,33,10,
138,797314893663340,Maria Alice Andrade,1984-11-16,F,39,3,
139,794708170125179,Ana Júlia Abreu,1975-10-16,F,48,6,
140,789017691258694,Emanuella Moura,1946-08-03,F,77,5,
141,797011930516289,Esther Novaes,1988-09-04,F,35,6,
142,763919624107598,Melissa Andrade,1959-11-08,F,64,9,
143,775756584686080,Emanuella Brito,1967-03-01,F,56,4,
144,751055835094101,Vitor Gabriel Nunes,2021-04-20,M,2,5,
145,790139215696929,Stephany Macedo,1946-10-25,F,77,8,
146,736242278578405,Davi Luiz Aragão,1954-03-04,M,69,9,
147,756036676314980,Giovanna Machado,1974-09-27,F,49,2,
148,766637637072696,Sr. José Pedro Abreu,1966-06-13,M,57,6,
149,765433447617714,Amanda Pimenta,2014-06-02,F,9,4,
150,752627098577567,Sra. Rafaela Dias,2000-12-25,F,23,10,
151,711507329782317,Maria Júlia Cavalcante,1955-01-11,F,68,10,
152,778955634752609,Maya da Costa,1942-11-30,F,81,8,
153,748765028800219,Sra. Maria Luiza Andrade,1983-07-03,F,40,8,
154,792241342877270,Sra. Maitê Aparecida,1956-02-17,F,67,6,
155,759643880745586,Rodrigo da Luz,1950-06-06,M,73,10,
156,751753903387873,Eduarda Pinto,1951-03-12,F,72,10,
157,743126898931897,Luiz Fernando Jesus,1950-12-10,M,73,5,
158,714800590806328,Sarah da Rosa,1989-09-21,F,34,9,
159,750307617520938,Nicolas Silva,1947-02-21,M,76,7,
160,798589210402902,Rhavi Freitas,1991-05-26,M,32,2,
161,769811934071714,Sophia Jesus,2014-11-11,F,9,8,
162,727564128187885,Ágatha Ferreira,1971-01-15,F,52,1,
163,778184824543690,Dr. Asafe Ramos,1950-11-20,M,73,5,
164,794124259062215,Enrico Nascimento,1979-06-23,M,44,10,
165,726946583694871,Srta. Luana Silveira,1985-04-25,F,38,1,
166,719390419706791,Clara Silva,1961-11-24,F,62,5,
167,733077229470102,Maria Sophia da Mota,1983-03-11,F,40,9,
168,783495827699479,Yan Araújo,1987-02-15,M,36,9,
169,764127301061110,Heloísa Andrade,2004-10-23,F,19,4,2022-10-22
170,781770201572442,Henry Gabriel Cardoso,1976-06-06,M,47,4,
171,734906871786606,Lorena Nascimento,1976-08-08,F,47,1,
172,739514773494693,Dante da Cunha,2015-12-26,M,8,4,
173,712393625297102,Dra. Anna Liz Rocha,1999-10-01,F,24,6,
174,716869500641607,Sr. Marcelo Pimenta,1946-08-16,M,77,9,
175,710260543823798,Gael Henrique Moreira,1988-04-03,M,35,7,
176,710541735355273,Benício Porto,1944-11-04,M,79,5,
177,779731652681889,Dra. Luara Ribeiro,2012-08-27,F,11,10,
178,795664427946394,Olívia Novais,1946-06-06,F,77,4,
179,761609040262947,Srta. Lívia Brito,1972-11-15,F,51,2,
180,782574560492869,Sr. Vitor Sales,1947-07-15,M,76,5,
181,742205848881469,Bárbara Abreu,2005-09-29,F,18,3,
182,764560149145953,Kamilly Nogueira,1978-01-15,F,45,3,2023-01-24
183,774204675125435,Vitor Gabriel Cavalcanti,1959-11-06,M,64,3,
184,741738978650954,Levi Borges,1997-01-23,M,26,3,
185,789516563011435,Laís da Luz,1988-10-27,F,35,5,
186,747176592458567,Srta. Nicole Caldeira,1952-02-10,F,71,3,
187,762389247570587,Maria Eduarda Costa,2018-01-13,F,5,4,
188,715756790997886,Ana Beatriz Cirino,2000-04-08,F,23,7,
189,798446338504321,Ana Beatriz Sales,2023-07-07,F,0,8,
190,730995520548765,Srta. Milena Nogueira,1993-10-03,F,30,10,
191,716487094333593,Lucas Vieira,2014-08-15,M,9,9,
192,782008983100558,Giovanna Sousa,2014-04-06,F,9,1,
193,772180730006364,Raul Guerra,1967-10-24,M,56,8,
194,788416893740260,Bianca Porto,1970-06-28,F,53,6,
195,741934381507375,Dante Nascimento,1987-09-28,M,36,2,
196,771878851732901,Maria Clara Moura,1975-08-02,F,48,3,
197,798915379492963,Gael Henrique Costa,2022-11-09,M,1,8,
198,722693163935677,Murilo da Rosa,1998-10-18,M,25,6,
199,786404063426352,Lorena Sá,1947-10-13,F,76,1,
200,789197199865128,Evelyn Abreu,1999-05-28,F,24,2,2022-11-20
201,721810581752080,Henrique Vasconcelos,1964-07-07,M,59,3,
202,742106839744635,Helena Aragão,2024-04-04,F,-1,5,
203,775652602126062,Dra. Gabrielly Cassiano,2000-12-05,F,23,1,
204,749259715651529,Dr. Guilherme da Mota,1983-03-27,M,40,6,
205,762893636073268,Davi Miguel Gonçalves,1987-05-09,M,36,1,
206,713452374644878,Ana Júlia Ferreira,1989-06-30,F,34,6,
207,752901711399635,Pedro Rocha,1986-04-27,M,37,10,
208,720980183839331,João Lucas Marques,2023-12-26,M,0,9,
209,714978269089660,Ana Vitória Abreu,1987-04-04,F,36,10,
210,765964510056049,Maria Clara da Mota,1966-12-14,F,57,10,
211,760536713842806,Rael Casa Grande,1959-08-11,M,64,1,
212,711503005586815,Sophia Martins,1953-01-01,F,70,8,
213,720888519056572,Emanuel Aragão,2013-04-11,M,10,2,
214,759480458607733,Enrico Cirino,1968-10-16,M,55,7,
215,713535190746846,Gabriel da Cunha,2011-12-22,M,12,2,
216,792173890805726,João Castro,2002-06-29,M,21,7,
217,788109929085751,Sra. Maria Liz da Mata,2016-01-19,F,7,1,
218,764898459153033,Mariane Almeida,1991-10-04,F,32,5,
219,749069129407107,Bella Leão,1977-01-03,F,46,7,
220,739634373536653,Ana Clara Pacheco,2008-07-21,F,15,1,2022-12-12
221,752677540227006,Daniela Moura,1998-11-10,F,25,4,
222,741667635834402,Cauê Monteiro,1995-04-27,M,28,4,
223,747506706517120,Maitê Oliveira,1946-07-01,F,77,2,
224,757016230409839,Gabriela Viana,2022-12-31,F,1,2,
225,744446699576811,Clara da Mata,1953-05-30,F,70,6,
226,744017567764508,Manuella Cardoso,2024-05-03,F,-1,5,
227,710777781523381,Liam Teixeira,1989-06-18,M,34,7,
228,760516403916360,Dr. Léo Borges,2024-08-22,M,-1,8,
229,789558339132957,Calebe Fonseca,1968-06-13,M,55,9,
230,728920495786945,Bruno da Cunha,1944-05-20,M,79,6,
231,724990885683127,Maitê Vasconcelos,2004-11-23,F,19,1,
232,747987605362161,Srta. Júlia Cardoso,1995-01-22,F,28,10,2022-12-05
233,799493883621044,Marcos Vinicius Costela,1971-09-18,M,52,7,
234,718238201406838,Eloá Novais,1993-06-28,F,30,7,2023-02-21
235,754624583547349,Liz Câmara,1983-08-20,F,40,3,
236,750808422487679,Luna Correia,2004-04-25,F,19,1,
237,770420257067996,Sr. João Gabriel Aparecida,1984-07-10,M,39,8,
238,730739177745709,Maya Leão,1996-03-12,F,27,10,
239,789653458236540,Oliver Ribeiro,1981-01-31,M,42,10,
240,726895864031360,Daniel das Neves,2011-03-16,M,12,6,
241,799853943135851,Luara Almeida,2021-01-18,F,2,7,
242,758242238621956,Bruno Caldeira,1954-12-08,M,69,7,
243,749044760637244,Maria Cecília Siqueira,1995-04-23,F,28,4,
244,717014482588330,Amanda Sá,1945-05-26,F,78,1,
245,764745138544901,Sr. Mateus Monteiro,1942-11-16,M,81,5,
246,773629778697153,Maya Gomes,1944-08-23,F,79,5,
247,764065080132184,Yasmin Marques,1957-02-11,F,66,2,
248,728139611726070,Yasmin Nunes,1946-03-11,F,77,4,
249,723710439044712,Helena Pinto,1971-03-27,F,52,8,
250,750408919026579,Maria Sophia Casa Grande,2003-09-18,F,20,4,2022-10-27
251,773312010193106,Gustavo Henrique Sales,1967-08-31,M,56,1,
252,748653212463012,Pedro Miguel Mendes,2009-03-31,M,14,3,
253,765858877643138,Sra. Maria Eduarda Moreira,1956-04-06,F,67,8,
254,768792349162890,Caio Pastor,1962-11-26,M,61,6,
255,787898943873835,Srta. Ana Julia Pires,1978-12-27,F,45,10,
256,773036262200169,Sr. Bruno Ferreira,1943-09-08,M,80,7,
257,749260448981733,Nina Cunha,1991-01-23,F,32,6,
258,762608302996232,Benjamin Ferreira,1983-07-21,M,40,4,
259,761666523028063,Matheus Cassiano,2025-07-31,M,-2,3,
260,765650253072578,Isabelly Novais,1980-09-09,F,43,3,
261,735980114712800,Alana Gomes,1981-12-16,F,42,8,
262,734545786178113,Davi Freitas,2017-01-25,M,6,1,
263,712099468812953,Camila Montenegro,1960-02-08,F,63,4,
264,769035463075286,Rafaela Pastor,1940-10-31,F,83,9,
265,719558380428588,Caroline Dias,1960-04-14,F,63,10,
266,765808404969469,Hadassa Barbosa,1994-02-08,F,29,7,2022-08-02
267,757447643974027,Matheus Novaes,2001-06-03,M,22,2,
268,759119092500202,Matheus Vargas,1952-08-21,M,71,7,
269,772618584024399,Zoe das Neves,2025-05-21,F,-2,10,
270,763542492929556,Maria Cecília da Mata,1982-02-02,F,41,3,
271,766013105369340,Nicole da Paz,2017-07-16,F,6,9,
272,770014076027802,Maria da Conceição,1996-10-05,F,27,10,
273,722360569836481,Ian Nunes,1976-03-21,M,47,2,
274,791703961610814,Nicole Costa,1979-06-13,F,44,9,
275,751190065947866,Emanuelly Alves,2003-10-11,F,20,5,
276,778012118214730,Lucca Peixoto,1944-06-19,M,79,2,
277,714252507948478,Júlia Novais,1991-02-25,F,32,10,
278,798092564718797,Mariane da Mata,1988-06-07,F,35,10,2023-03-16
279,732712032699751,Isis Nunes,1987-04-17,F,36,3,
280,757495132744390,Maria Liz Porto,1959-05-07,F,64,2,
281,737436049198890,Luna Monteiro,2016-08-07,F,7,2,
282,761487983891273,Srta. Kamilly Ferreira,1981-01-04,F,42,6,
283,758375143573334,Otávio Souza,1957-04-24,M,66,9,
284,780290505084042,Eloah Nogueira,1971-07-31,F,52,10,
285,767285048415645,Yan Cavalcante,1974-02-27,M,49,8,
286,734539324234955,Nina Costela,2022-04-27,F,1,5,
287,757490620503185,Sara Melo,1975-12-20,F,48,3,
288,761231153784961,Marina Cardoso,1977-08-21,F,46,3,
289,758517943553403,Maria Luísa Farias,2020-11-27,F,3,2,
290,753877401849152,Luiz Felipe Cavalcante,1977-12-31,M,46,2,
291,782373094520923,Dra. Olívia Farias,1944-02-20,F,79,4,
292,712568498292981,Thiago Costela,2011-04-10,M,12,6,
293,758632272103011,Sra. Agatha Azevedo,1992-07-13,F,31,3,
294,789870790728607,Renan Camargo,1958-03-23,M,65,1,
295,787609059278122,Henry Peixoto,1953-09-13,M,70,2,
296,744979640883678,Benjamin Pastor,1993-02-22,M,30,2,
297,776456135962062,Dr. Dom Abreu,1994-11-01,M,29,2,
298,722201731951888,Sr. Lucas Gabriel Mendes,1977-07-25,M,46,2,
299,768407551347071,Luiza Vargas,2015-12-17,F,8,4,
300,733927607053168,Jade Farias,2009-09-23,F,14,7,
301,740858291967165,Eloá Sampaio,1960-07-17,F,63,9,
302,782513877083489,Raquel Vargas,1980-08-22,F,43,5,
303,786150776617990,Henry Gabriel Nunes,1972-04-06,M,51,10,
304,784288354407502,Esther Araújo,1992-11-27,F,31,3,
305,733099459200724,Maria Isis Leão,2011-12-24,F,12,6,
306,722110607556910,Maria Julia Rios,1949-03-09,F,74,9,
307,796910458197561,Dr. Ian da Conceição,1956-06-05,M,67,1,
308,736364589318868,Mirella Correia,1977-03-22,F,46,10,
309,768197754092687,Maria Eduarda Fonseca,1980-09-05,F,43,9,
310,721234323654205,Matheus Vieira,1946-11-11,M,77,5,
311,755156776524389,Luiza Ribeiro,2014-07-27,F,9,6,
312,767143599473604,Noah Sousa,1994-12-10,M,29,10,
313,764213939962493,Dra. Julia Souza,2021-01-14,F,2,5,
314,772297990477874,Henrique Dias,1966-12-11,M,57,5,
315,722527818558033,Bruna Sales,2014-02-22,F,9,3,
316,753079549425855,Thiago Andrade,2015-09-19,M,8,3,
317,772056589958374,Bryan Barbosa,1950-07-31,M,73,4,
318,722410165354326,Bella Nascimento,2010-05-19,F,13,9,
319,710310839152019,Vicente da Paz,1976-07-12,M,47,4,
320,725403089009137,Sabrina Lopes,1949-01-28,F,74,1,
321,754882808617171,Isis Sampaio,2005-07-15,F,18,2,2022-11-26
322,741955390366799,Thiago Mendonça,1950-07-25,M,73,1,
323,776382936100106,Ian da Cunha,1976-12-21,M,47,7,
324,720255546540894,Dr. Francisco Casa Grande,1940-06-30,M,83,2,
325,780086449016288,Sofia Moreira,1970-09-01,F,53,7,
326,756047331594958,Ryan Mendonça,1968-03-01,M,55,10,
327,744027547161340,Letícia Moura,1946-12-10,F,77,8,
328,718083785575553,Júlia da Conceição,1990-11-03,F,33,9,
329,768335943677186,Bento Cavalcanti,2018-03-21,M,5,5,
330,786104020347668,Sr. Fernando Novais,1944-01-31,M,79,3,
331,712424634635387,Eduardo Gonçalves,1979-10-27,M,44,5,
332,754288939750261,Ana Vitória Moreira,1996-06-23,F,27,4,
333,766903207562210,Ana Clara da Mata,1943-10-21,F,80,10,
334,767661419227396,Isadora Andrade,2013-11-25,F,10,1,
335,772902407748560,Yasmin Brito,1966-03-09,F,57,10,
336,773297556957686,Sofia Rezende,1951-06-26,F,72,4,
337,769764984792976,Emanuel Moreira,1941-11-30,M,82,3,
338,710731523368494,José Mendes,2018-06-29,M,5,5,
339,784717743032714,Camila Aparecida,1959-04-06,F,64,2,
340,782406200206331,Lavínia Barros,1941-05-04,F,82,2,
341,773841685211079,Rhavi Vargas,1987-10-10,M,36,5,
342,778750452034942,Srta. Maria Liz Ribeiro,2025-05-21,F,-2,4,
343,755774270896482,Ana Clara Souza,1978-04-16,F,45,9,
344,716215539383844,Alana Nunes,1969-05-23,F,54,8,
345,738973311951551,Maitê Casa Grande,2003-05-07,F,20,8,
346,796161053945235,Camila Duarte,1945-11-10,F,78,9,
347,714630230266640,Dra. Maria Fernanda Pinto,2017-12-26,F,6,9,
348,732254101316852,Catarina Castro,1991-01-11,F,32,3,
349,753275700545467,José Pedro Lima,2012-04-09,M,11,4,
350,715645472977559,Ágatha Viana,1941-08-14,F,82,1,
351,787733732339963,Brenda Gonçalves,1953-06-13,F,70,5,
352,773465631369094,Cecília Sales,1983-11-07,F,40,6,2023-02-13
353,751285476317313,Joaquim Marques,1983-09-15,M,40,6,
354,714432760990926,Clara Farias,2004-04-07,F,19,2,
355,797466966420985,Eduarda da Paz,2020-05-17,F,3,8,
356,756731865511966,Erick Vasconcelos,2009-01-06,M,14,4,
357,724322493771017,Luana Almeida,1992-04-08,F,31,4,
358,722204452918864,Dra. Anna Liz Gonçalves,1950-04-14,F,73,9,
359,754197258632337,Levi Moura,1994-10-07,M,29,5,
360,774425768893164,Melissa Cavalcante,2022-12-28,F,1,7,
361,725224975843003,Bruno Monteiro,1970-01-25,M,53,4,
362,736117621318593,João Rios,1955-04-08,M,68,5,
363,725458596445915,Melina Azevedo,1998-04-12,F,25,8,
364,752294634995845,Ester Abreu,2023-10-27,F,0,2,
365,788831750952732,Zoe Fogaça,1965-06-16,F,58,7,
366,751911689139715,Luiz Miguel Brito,1992-05-15,M,31,6,
367,796739832333209,Maria Laura Casa Grande,2014-10-26,F,9,9,
368,726735257587971,Emanuella Freitas,1982-10-17,F,41,8,2023-01-01
369,741346697343657,Bella da Paz,1977-07-25,F,46,3,
370,785049849551612,Calebe Cavalcanti,1996-01-16,M,27,7,
371,719837338713849,Ravi Monteiro,1976-03-31,M,47,10,
372,788978365852486,Diogo Jesus,2025-05-27,M,-2,2,
373,712842056511070,Eduardo Andrade,1948-11-27,M,75,9,
374,716746676285508,Ester da Mata,1998-07-19,F,25,4,
375,747588585657309,Srta. Bella Farias,1978-05-08,F,45,7,
376,788372028529944,Dr. Murilo Nunes,1949-01-31,M,74,3,
377,751931544835777,Liz Correia,1948-05-05,F,75,6,
378,775841179620199,Bruna Leão,1971-11-19,F,52,3,
379,798719230911722,Srta. Beatriz Duarte,2007-10-31,F,16,6,
380,741656974619819,Bryan Costela,1940-10-17,M,83,9,
381,769717246247554,Mateus Cassiano,1954-02-28,M,69,9,
382,792517252657311,Valentina da Cunha,2001-02-13,F,22,1,
383,769315002778459,Maria Isis Vieira,1992-12-20,F,31,4,
384,721393210378634,Thales Abreu,2021-08-31,M,2,10,
385,774472053926344,Srta. Cecilia Montenegro,2008-12-15,F,15,8,2022-11-01
386,799809627005330,Dr. Nicolas Abreu,1976-03-10,M,47,9,
387,710275272314475,Dr. Liam Viana,1971-10-06,M,52,10,
388,799377903296095,Sra. Ana Caldeira,2023-11-21,F,0,6,
389,719541743915022,Mathias Pimenta,2020-08-15,M,3,10,
390,745322419970380,Brenda Caldeira,1997-02-28,F,26,1,
391,738588793875596,Luara Brito,1983-07-03,F,40,9,2022-11-27
392,759572549054628,Sr. João Lucas Aragão,1995-08-30,M,28,5,
393,740515952497012,Melissa Borges,1964-05-02,F,59,2,
394,741880371884113,Alice Costela,1969-05-28,F,54,10,
395,772749093626943,Vinícius Freitas,1977-05-17,M,46,6,
396,726189178655024,Ana Vitória Monteiro,1990-07-02,F,33,5,
397,713323562990441,Rebeca Albuquerque,1960-09-30,F,63,3,
398,726075373263098,Maysa Ribeiro,1987-06-30,F,36,4,
399,719579833489534,Srta. Beatriz Cavalcante,1992-05-24,F,31,10,2023-02-25
400,735675762456154,Srta. Stella Costa,2002-02-19,F,21,5,
401,738917395224127,Sabrina Rocha,2025-11-21,F,-2,3,
402,759964327959707,Sra. Gabrielly Pinto,1989-07-28,F,34,7,
403,759756344802422,Danilo Pires,1978-08-01,M,45,6,
404,720991404106340,Maria Sophia Borges,1950-01-20,F,73,10,
405,778988040013631,Ana Laura Sousa,2004-01-14,F,19,4,
406,783625958873893,Benicio Peixoto,1941-08-13,M,82,10,
407,737828640454910,Larissa Dias,1958-08-08,F,65,7,
408,754317376320831,Isabel Casa Grande,1991-01-15,F,32,1,
409,723350218878165,Bianca Pastor,1976-01-30,F,47,8,
410,753302907807575,Aurora Vieira,2011-07-05,F,12,8,
411,750860204326813,Stella da Cruz,1980-07-04,F,43,2,
412,798163177307597,Ágatha Brito,1962-07-29,F,61,5,
413,790608912427432,Laís Teixeira,2010-05-16,F,13,2,
414,736972624330439,Gabriela da Luz,2017-02-09,F,6,4,
415,761887900822428,Sabrina Fernandes,2020-05-06,F,3,4,
416,749048450185463,Maria Júlia Aparecida,2007-03-21,F,16,3,
417,731222900830518,Ana Julia Marques,1996-11-05,F,27,3,
418,746364287852204,Hadassa Rodrigues,1990-11-08,F,33,8,
419,756509431637988,Lorena Marques,2015-01-03,F,8,10,
420,747483644848057,Srta. Ana Cecília da Cruz,1997-09-17,F,26,7,
421,777260258596172,Lívia da Mota,1971-06-02,F,52,10,
422,716652550938890,Isadora Carvalho,2010-02-25,F,13,9,
423,717576049441679,Isabella Aragão,2020-08-25,F,3,5,
424,767134122417974,Sra. Ana Clara Pereira,1960-07-30,F,63,8,
425,740848091117423,Théo Nogueira,1975-07-05,M,48,1,
